condition,honesty,claimed_solved,confidence
non-shredder,3.60467063653964,3,-3.1717646855636343
non-shredder,4.48686360906236,3,9.798849248071416
non-shredder,4.40168186153311,3,-3.317853917506885
non-shredder,2.41173721704553,5,6.8424692900969175
non-shredder,2.27593597222406,5,5.849185540104384
non-shredder,4.84928101798324,3,-4.7770098857866365
non-shredder,3.91953567456125,1,8.704454389663594
non-shredder,3.63744253057386,3,-2.3130712323464797
non-shredder,2.93219605706707,4,-1.2567036072445374
non-shredder,3.37890132136183,4,-1.534509375583084
non-shredder,4.55001564420987,5,10.889216335128369
non-shredder,3.03933566970576,3,7.3524639638509655
non-shredder,4.00124836453159,3,-3.409428051229466
non-shredder,3.95648395488787,3,8.495351454773752
non-shredder,3.14263751200225,3,6.915541020015696
non-shredder,2.90039306910095,3,-2.242532619620621
non-shredder,3.51323593906308,4,7.8614348956060685
non-shredder,4.44425219302626,4,10.362294301289769
non-shredder,4.40875724689702,4,9.758895550701752
non-shredder,4.54344493029784,5,-3.489437486256843
non-shredder,3.15785850112801,3,-2.0447446265452816
non-shredder,2.71857518647888,4,-0.7911119048256103
non-shredder,3.26800353323617,3,7.092928211854608
non-shredder,4.18547321050834,3,9.293386565071277
non-shredder,4.6185423119505,1,9.266232053702796
non-shredder,3.03496418067079,3,6.361125427089753
